"date","lake","DRP_mgm3_bottom","NH4_mgm3_bottom","NNN_mgm3_bottom","secchi_m","TN_mgm3_top","TP_mgm3_top","chla_mgm3_top","DO_sat_bottom","PAR_umolm2s_bottom","spcond_uScm_bottom","temp_C_bottom","DO_sat_top","PAR_umolm2s_top","spcond_uScm_top","temp_C_top","thermo_depth","schmidt_stability","strat","Kd","month","year","tli_monthly","tli_annual"
2000-07-11,"Okareka",2,5,1,6.5,176.5,11,5.900000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2000,3.45892953445885,3.1447944337613
2000-08-23,"Okareka",0.5,6,0.5,6.9,184,6,7.699999809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2000,3.33354472085039,3.1447944337613
2000-09-28,"Okareka",0.5,8.5,3,9.1,195.5,8.5,3.700000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2000,3.16412896458912,3.1447944337613
2000-10-25,"Okareka",4,11,0.5,11.1,268.5,4,0.899999976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2000,2.56401302527835,3.1447944337613
2000-11-28,"Okareka",6,8,63,8.4,234,4,1.899999976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2000,2.82902333289066,3.1447944337613
2000-12-15,"Okareka",2.25,3,39.25,9.3,271.5,4,3.299999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2000,2.99295897464597,3.1447944337613
2001-01-18,"Okareka",3.5,15.5,108,9.4,247,6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2001,2.86921964761836,3.12614504531242
2001-02-14,"Okareka",3,7,0.5,9.6,298.75,8,2.299999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2001,3.13267459937877,3.12614504531242
2001-03-21,"Okareka",2.9,20,15,9.6,215.1788101,4.189989567,2.299999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2001,2.82039677594242,3.12614504531242
2001-04-18,"Okareka",5.85,31,5.7374872565,9.7,213.69664765,4.0949947835,3.099999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2001,2.8893294778273,3.12614504531242
2001-05-22,"Okareka",0.5,3,2,9.4,214,6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2001,3.18066391306422,3.12614504531242
2001-06-21,"Okareka",2,10,2,5.5,230.5,8.5,5.300000191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2001,3.49030854678807,3.12614504531242
2001-07-17,"Okareka",1,1,0.5,7.1,213.25,6,8.699999809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2001,3.40565454725465,3.12614504531242
2001-08-21,"Okareka",2,2,1,9.6,152,4,6.300000191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2001,2.96997488436853,3.12614504531242
2001-09-19,"Okareka",0.5,4,2,7.6,183,6,5.800000191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2001,3.2203080700849,3.12614504531242
2001-10-17,"Okareka",2,5,0.5,9.6,207.5,6,2.599999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2001,2.95616713321056,3.12614504531242
2001-11-21,"Okareka",0.5,6,2,9.2,214.5,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2001,3.00688723554708,3.12614504531242
2001-12-11,"Okareka",0.5,20,0.5,7.3,245,3,4.300000191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2001,3.02735566176004,3.12614504531242
2002-01-23,"Okareka",2,9,29,10.2,288.5,4,1.399999976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2002,2.74186628490117,3.08555593177774
2002-02-13,"Okareka",2,15,22,6.5,219.5,9,2.099999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2002,3.18168219970909,3.08555593177774
2002-03-20,"Okareka",5,14,8,8.4,276,5,2.700000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2002,3.05062425596159,3.08555593177774
2002-04-17,"Okareka",3,18,7,9.4,200.5,4,1.799999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2002,2.72278972372555,3.08555593177774
2002-05-23,"Okareka",5,3,9,9.2,250.5,5,3.900000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2002,3.08743383591022,3.08555593177774
2002-06-11,"Okareka",0.5,12,1,5.8,207,4,5.199999809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2002,3.19348337046174,3.08555593177774
2002-07-25,"Okareka",0.5,2,0.5,6.7,203.5,3,7.099999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2002,3.13434342055722,3.08555593177774
2002-08-21,"Okareka",2,2,1,8.6,137,6,3.900000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2002,2.97249995532082,3.08555593177774
2002-09-25,"Okareka",0.5,7,1,9.1,204,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2002,3.21765893962621,3.08555593177774
2002-10-24,"Okareka",3,20,4,10.3,238,9,3.099999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2002,3.15159436084391,3.08555593177774
2002-11-22,"Okareka",1,19,7,8.4,155.5,4,3.200000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2002,2.83922722844332,3.08555593177774
2002-12-19,"Okareka",2,8,41,7.9,178,9,2.599999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2002,3.10497781687436,3.08555593177774
2003-01-22,"Okareka",2,0.5,70,7.4,200.5,7,3.200000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2003,3.14428470609559,3.15126418281541
2003-02-19,"Okareka",3,1,56,6,195.5,5,4.599999905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2003,3.20051124775586,3.15126418281541
